County_subdivision,a,Y,b,c,d,e,f,sub,County,coun,Housings,House_age,Hispanic
"District 4B, East Feliciana Parish",57.26333333,1.04996143,7,968.414868,44.87276968,60334,37.8,86,East Feliciana Parish,8,1033,69.6,7.2
"District 3, St. John the Baptist Parish",41.37611111,4.727668847,27,8018.730057,20.70271252,43784,75.2,63,St. John the Baptist Parish,25,2531,82.6,2.1
"District 3, Washington Parish",1.851666667,0.394778304,8,1027.190517,91.94481852,34809,38.7,70,Washington Parish,34,3703,87.4,13.7
"District 3, St. Martin Parish",1.583611111,2.3907226,0.5,256.7807184,109.0545371,31116,49.8,65,St. Martin Parish,27,2095,89.2,6.8
"District 2, St. Tammany Parish",198.3286111,1.602185461,10,3136.53962,70.90617711,65436,1.9,46,St. Tammany Parish,29,6782,65.3,3.9
"District 2, Lafourche Parish",87.29472222,2.331523537,29,13773.50887,14.24881871,57598,2.3,36,Lafourche Parish,15,5012,65.3,5
"District 2, Jefferson Parish",2803.500833,5.247344077,13,17021.14204,42.40337846,54987,18.1,35,Jefferson Parish,13,38008,92.6,1.6
"District 8, Ascension Parish",118.9602778,0.294148091,12,670.217948,41.99809879,98737,19.9,133,Ascension Parish,2,6311,37,1.3
"District 6, Terrebonne Parish",70.19916667,2.150316795,28,1990.310338,57.82619417,99074,10,117,Terrebonne Parish,31,5309,56.3,0.2
"District 6, Plaquemines Parish",11441.32167,9.606035614,15,4007.467,48.91951199,48700,58.7,109,Plaquemines Parish,18,973,23.4,0.3
"District F, Lafayette Parish",417.5344444,0.43383811,0,0,130.5585179,78664,8.1,164,Lafayette Parish,14,15389,71.9,5.1
"District 7, Assumption Parish",0.528055556,3.168137369,14,1518.388631,48.92155812,41728,29.2,119,Assumption Parish,3,934,73.5,7
"District 7, St. John the Baptist Parish",841.7344444,8.626069124,27,8018.730057,24.00366618,93859,44.7,127,St. John the Baptist Parish,25,2345,72.7,0
"District 7, East Baton Rouge Parish",640.9038889,0.49192224,6,3674.835399,36.26037076,31035,68.3,120,East Baton Rouge Parish,7,17012,94.7,1.4
"District 5, Tangipahoa Parish",1210.030278,3.58815739,18,9577.684626,32.86155361,39494,33.7,101,Tangipahoa Parish,30,4979,72,0.1
"District 4, Lafourche Parish",24.54277778,3.288157686,29,5929.032628,19.80327188,72500,11,77,Lafourche Parish,15,4412,79.4,0.6
"District 4, Plaquemines Parish",79.83138889,4.510538595,15,644.8623017,56.60373369,66182,15.4,78,Plaquemines Parish,18,2116,57.8,0.1
"District 4, Tangipahoa Parish",3378.575278,4.87108653,18,8940.54211,30.58502342,52028,14.9,84,Tangipahoa Parish,30,5008,68.8,1.4
"District 10, St. Tammany Parish",106.1066667,1.883723828,10,895.8719382,65.13690425,76851,7.2,21,St. Tammany Parish,29,6898,74.3,0.1
"District 10, Iberville Parish",229.0655556,0.30432725,16,939.5422625,64.13899379,34543,14.7,20,Iberville Parish,11,1157,86.4,0
"District E, St. Bernard Parish",369.8147222,4.081774032,9,1568.850748,125.1979353,39870,24.3,163,St. Bernard Parish,21,3317,69.9,3.5
"District C, St. Bernard Parish",4.325,3.308976446,9,661.649405,63.51520948,54837,12.7,160,St. Bernard Parish,21,3523,93,8.1
"District 3, St. Tammany Parish",162.6227778,1.368562414,10,3136.53962,59.6920164,69500,17.6,67,St. Tammany Parish,29,9065,64.1,0.6
"District 2, St. Charles Parish",528.6105556,7.728434761,22,1569.627469,28.26840398,62292,20.2,39,St. Charles Parish,22,2561,84.5,4.9
"District 2, St. Landry Parish",64.83222222,1.035264647,0,0,119.4934136,23269,82.5,43,St. Landry Parish,26,2475,96.4,4.3
"District 8, St. Martin Parish",461.8925,2.151115024,0.5,382.4338244,93.18858793,50072,12.5,140,St. Martin Parish,27,2722,69.5,4.7
"District 8, Iberville Parish",0.665277778,0.929748461,16,939.5422625,53.80591732,41083,57.2,136,Iberville Parish,11,1373,91,1.6
"District B, St. Bernard Parish",16.34305556,3.349148218,9,661.649405,62.213421,43594,26.8,159,St. Bernard Parish,21,3354,78.8,1.3
"District 4, St. Charles Parish",799.9252778,3.945251649,22,45117.7109,25.10214861,67202,14.5,79,St. Charles Parish,22,2804,74.4,2.7
"District 10, Ascension Parish",16.96888889,0.356592843,12,1406.29796,42.63238753,57176,30.4,18,Ascension Parish,2,3544,65.6,3.5
"District 9, Tangipahoa Parish",2230.181667,4.550597903,18,1440.889953,52.87664043,54161,20,154,Tangipahoa Parish,30,6043,64.2,0.5
"District 10, Tangipahoa Parish",1565.311389,3.209782797,18,20731.27106,41.43519169,65354,14.6,22,Tangipahoa Parish,30,5409,55.5,10.1
"District 10, East Baton Rouge Parish",2328.208611,1.572630559,6,4084.121403,39.37439776,30605,60.8,19,East Baton Rouge Parish,7,15223,84.1,0.8
"District 7, St. James Parish",1.528055556,1.947249172,18,2029.541769,9.125661843,56563,37.9,126,St. James Parish,24,1194,75.7,0.3
"District A, St. Bernard Parish",7.371388889,2.6092958,9,1316.319842,59.92240473,40625,27.3,158,St. Bernard Parish,21,3486,85.6,0.6
"District 5, St. James Parish",12.03444444,5.134487283,18,2029.541769,27.08502947,25313,93.4,97,St. James Parish,24,1225,79,11.2
"District 5, Lafourche Parish",968.9358333,7.84474451,29,5256.19018,36.55919394,68806,0.2,91,Lafourche Parish,15,3866,56.5,0.1
"District 5, Plaquemines Parish",163.4263889,6.646180301,15,644.8623017,58.18565452,70563,14.5,93,Plaquemines Parish,18,1182,66.5,7.4
"District 3, St. Mary Parish",52.84,0.68755242,3,3437.715179,102.6848457,40423,38.7,66,St. Mary Parish,28,2582,90,0.5
"District 3, St. Charles Parish",99.99944444,8.715419168,22,5202.666378,26.64258366,120206,14.1,60,St. Charles Parish,22,3385,89.3,1.1
"District 3, Ascension Parish",134.8616667,1.765623737,12,670.217948,49.2141577,49948,47.4,49,Ascension Parish,2,4582,46.1,7.4
"District 3, Tangipahoa Parish",485.9522222,0.872138319,18,9802.493105,29.47014511,36119,61.9,68,Tangipahoa Parish,30,4568,89,1.3
